epoch,step,train_loss_step
0,49,6.130126953125
0,99,5.822998046875
0,149,5.7001953125
0,199,5.701904296875
0,249,5.5191650390625
0,299,4.5966796875
0,349,4.46826171875
0,399,4.9874267578125
0,449,4.13055419921875
0,499,3.640625
0,549,2.875946044921875
0,599,3.34942626953125
0,649,2.234649658203125
0,699,2.989013671875
0,749,2.3065643310546875
0,799,2.9332199096679688
0,849,3.3238449096679688
0,899,2.494232177734375
0,949,2.2298583984375
0,999,3.104949951171875
0,1049,1.8039588928222656
0,1099,3.123443603515625
0,1149,3.184600830078125
0,1199,2.1081695556640625
0,1249,2.282564163208008
0,1299,1.3729362487792969
0,1349,2.637226104736328
0,1399,1.6652450561523438
0,1449,2.818655014038086
0,1499,2.012035369873047
0,1549,2.7401123046875
0,1599,1.2473030090332031
0,1649,2.495391845703125
0,1699,2.496795654296875
0,1749,1.7857933044433594
0,1799,2.5536766052246094
0,1849,1.6126060485839844
0,1899,1.9743995666503906
0,1949,1.6126899719238281
0,1999,1.907674789428711
0,2049,2.8252410888671875
0,2099,2.3845252990722656
0,2149,1.1046886444091797
0,2199,2.0363645553588867
0,2249,3.074878692626953
0,2299,1.3570690155029297
0,2349,2.21429443359375
0,2399,1.0255661010742188
0,2449,1.3852710723876953
